name, url, categories
'FreeMoCap', 'https://github.com/freemocap/freemocap', ['Motion Capture']
'Garden', 'https://github.com/garden-io/garden', ['Container Runtime']
'Gatling', 'https://github.com/gatling/gatling', ['Test Automation', 'Testing']
'Gatsby', 'https://github.com/gatsbyjs/gatsby', []
'Gecko', 'https://github.com/mozilla/gecko-dev', ['Web Browser']
'Gentoo Linux', 'https://github.com/gentoo/gentoo', ['Operating System']
'Gimp', 'https://gitlab.gnome.org/GNOME/gimp', ['Creative Design']
'Girder', 'https://github.com/girder/girder', ['Data Management']
'Git of Theseus', 'https://github.com/erikbern/git-of-theseus', ['Code Analysis / Analytics']
'Git', 'https://github.com/git/git', ['Version Control']
'Gitinspector', 'https://github.com/ejwa/gitinspector', ['Code Analysis / Analytics']
'Gitlab', 'https://gitlab.com/gitlab-org/gitlab', ['Version Control']
'Gitly', 'https://github.com/vlang/gitly', ['Version Control']
'Gitpod', 'https://github.com/gitpod-io/gitpod', ['App Dev']
'Gloo', 'https://github.com/solo-io/gloo', ['Gateway']
'GNU Compiler Collection', 'https://github.com/gcc-mirror/gcc', ['Compiler']
'go-zero', 'https://github.com/zeromicro/go-zero', ['RPC Framework']
'Go', 'https://github.com/golang/go', ['Programming Language']
'GoCD', 'https://github.com/gocd/gocd', ['Continuous Delivery']
'Godot', 'https://github.com/godotengine/godot', ['Game Engine']
'Gollum', 'https://github.com/gollum/gollum', ['Website Generator']
'GoTrue Javascript Library', 'https://github.com/netlify/gotrue-js', ['Javascript Library']
'GoTrue', 'https://github.com/netlify/gotrue', ['Auth']
'Gradle Build Tool', 'https://github.com/gradle/gradle', ['Build Automation']
'Grafana Loki', 'https://github.com/grafana/loki', ['Logging']
'Grafana', 'https://github.com/grafana/grafana', ['Data Visualization']
'GraphiQL', 'https://github.com/graphql/graphiql', ['API Query Language']
'Graphite-Web', 'https://github.com/graphite-project/graphite-web', ['System Monitoring']
'GraphQL Live Query', 'https://github.com/n1ru4l/graphql-live-query', ['Javascript Library']
'GraphQL-Yoga', 'https://github.com/dotansimha/graphql-yoga', ['Graph Computing']
'GraphQL.js', 'https://github.com/graphql/graphql-js', ['API Query Language']
'Graylog', 'https://github.com/Graylog2/graylog2-server', ['Logging']
'Great Expectations', 'https://github.com/great-expectations/great_expectations', ['Data Quality']
'Gretel Synthetics', 'https://github.com/gretelai/gretel-synthetics', ['Synthetic Data Generation']
'Grouparoo', 'https://github.com/grouparoo/grouparoo', ['Data Processing Engine']
'GrowthBook', 'https://github.com/growthbook/growthbook', ['Feature Flagging']
'gRPC', 'https://github.com/grpc/grpc', ['RPC Framework']
'Guava', 'https://github.com/google/guava', ['Java Library']
'Gun', 'https://github.com/amark/gun', ['Data Sync']
'gVisor', 'https://github.com/google/gvisor', ['Container Runtime']
'H2O', 'https://github.com/h2oai/h2o-3', ['Deep Learning / ML / AI']
'Hamilton', 'https://github.com/stitchfix/hamilton', ['Batch Processing', 'Workflow Orchestration']
'Handbrake', 'https://github.com/HandBrake/HandBrake', ['Video Transcoder']
'Harbor', 'https://github.com/goharbor/harbor', ['Container Registry']
'Hasura GraphQL Engine', 'https://github.com/hasura/graphql-engine', ['Data Serving']
'Headless Recorder', 'https://github.com/checkly/headless-recorder', ['Testing']
'Helm', 'https://github.com/helm/helm', ['Package Management']
'Hera', 'https://github.com/paypal/hera', ['Data Gateway']
'Hercules', 'https://github.com/src-d/hercules', ['Code Analysis / Analytics']
'HHVM', 'https://github.com/facebook/hhvm', ['Container Runtime']
'High-order Virtual Machine (HVM)', 'https://github.com/Kindelia/HVM', ['Rust Runtime']
'Highlight.js', 'https://github.com/highlightjs/highlight.js', ['Syntax Highlighting']
'history', 'https://github.com/remix-run/history', ['Javascript Library']
'Home Assistant', 'https://github.com/home-assistant/core', ['Home Automation']
'Homebrew Cask Versions', 'https://github.com/Homebrew/homebrew-cask-versions', ['Package Management']
'Homebrew Core', 'https://github.com/Homebrew/homebrew-core', ['Package Management']
'Homebrew', 'https://github.com/Homebrew/brew', ['Package Management']
'Hoppscotch', 'https://github.com/hoppscotch/hoppscotch', ['API Dev Framework']
'Hub', 'https://github.com/activeloopai/Hub', ['Database', 'Deep Learning / ML / AI']
'Hugo', 'https://github.com/gohugoio/hugo', ['Website Generator']
'Hypha', 'https://github.com/HyphaApp/hypha', ['Submission Management']
'iMSTK', 'https://gitlab.kitware.com/iMSTK/iMSTK', ['Simulators']
'InfluxDB', 'https://github.com/influxdata/influxdb', ['Database']
'inherits', 'https://github.com/isaacs/inherits', ['Javascript Library']
'isarray', 'http://github.com/juliangruber/isarray', ['Javascript Library']
'Istio', 'https://github.com/istio/istio', ['Service Mesh']
'ITK', 'https://github.com/InsightSoftwareConsortium/ITK', ['Image Processing']
'Jackson Core', 'https://github.com/FasterXML/jackson-core', ['Data Parsing']
'Jackson Databind', 'https://github.com/FasterXML/jackson-databind', ['Data Binding']
'Jaeger', 'https://github.com/jaegertracing/jaeger', ['Tracing']
'Javascript Algorithms', 'https://github.com/trekhleb/javascript-algorithms', ['Learn to Code']
'Javascript Style Guide', 'https://github.com/airbnb/javascript', ['Learn to Code']
'Jekyll', 'https://github.com/jekyll/jekyll', ['Website Generator']
'Jellyfin', 'https://github.com/jellyfin/jellyfin', ['Media Server']
